Genus,Species,Code,NFI_CODE,den0,rel1,unc1,cod1,rel2,unc2,cod2,rel3,unc3,cod3,rel4,unc4,cod4
Pinus,nigra,PINI,PINU_NIG,0.41,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,palustris,PIPA,PINU_PAL,0.54,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,ponderosa,PIPO,PINU_PON,0.38,0.925,0.011,B,1.007,0.02,B,1.154,0.061,B,0.481,0.213,C
Pinus,pungens,PIPU2,PINU_PUN,0.49,1.038,0.062,B,0.987,0.078,B,0.991,0.095,B,0.605,0.215,C
Pinus,radiata,PIRA,PINU_RAD,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,resinosa,PIRE,PINU_RES,0.41,0.862,0.052,B,0.95,0.075,B,0.876,0.088,B,0.52,0.214,C
Pinus,rigida,PIRI,PINU_RIG,0.47,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,sabiniana,PISA,PINU_SAB,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,serotina,PISE,PINU_SER,0.51,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,strobiformis,PIST2,PINU_STR,0.35,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,strobus,PIST,PINU_STR,0.34,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,sylvestris,PISY,PINU_SYL,0.38,0.99,0.02,A,0.98,0.02,A,0.83,0.08,A,0.598,0.215,C
Pinus,taeda,PITA,PINU_TAE,0.47,0.862,0.014,B,0.784,0.012,B,0.732,0.053,B,0.601,0.213,C
Pinus,virginiana,PIVI,PINU_VIR,0.45,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Planera,aquatica,PLAQ,PLAN_AQU,0.53,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Platanus,occidentalis,PLOC,PLAT_OCC,0.46,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Populus,alba,POAL,POPU_ALB,0.37,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,angustifolia,POAN,POPU_ANG,0.34,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,balsamifera,POBA,POPU_BAL,0.31,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,trichocarpa,POTR,POPU_TRI,0.31,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,deltoides,PODE,POPU_DEL,0.37,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,fremontii,POFR,POPU_FRE,0.34,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,grandidentata,POGR,POPU_GRA,0.36,0.97,0.063,B,0.793,0.201,B,0.878,0.092,B,0.613,0.227,C
Populus,heterophylla,POHE,POPU_HET,0.37,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,sargentii,POSA,POPU_SAR,0.37,1.006,0.132,B,0.793,0.201,B,0.868,0.229,B,0.613,0.227,C
Populus,species,POSP,POPU_SPE,0.37,1.04,0.136,B,0.793,0.201,B,0.86,0.227,B,0.613,0.227,C
Populus,tremuloides,POTR,POPU_TRE,0.39,0.97,0.04,A,0.75,0.05,A,0.54,0.07,A,0.613,0.227,C
Prosopis,species,PRSP,PROS_SPE,0.58,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Prunus,americana,PRAM,PRUN_AME,0.47,1.04,0.136,B,1.045,0.263,B,0.708,0.192,B,0.525,0.223,C
Prunus,nigra,PRNI,PRUN_NIG,0.47,1.04,0.136,B,1.045,0.263,B,0.708,0.192,B,0.525,0.223,C
Prunus,pensylvanica,PRPE,PRUN_PEN,0.36,1.04,0.031,B,1.011,0.041,B,0.636,0.076,B,0.525,0.223,C
Prunus,serotina,PRSE,PRUN_SER,0.47,1.04,0.073,B,1.08,0.059,B,0.78,0.103,B,0.525,0.223,C
Prunus,species,PRSP2,PRUN_SPE,0.47,1.04,0.136,B,1.045,0.263,B,0.708,0.192,B,0.525,0.223,C
Prunus,virginiana,PRVI,PRUN_VIR,0.36,1.04,0.136,B,1.045,0.263,B,0.708,0.192,B,0.525,0.223,C
Pseudotsuga,menziesii,PSME,PSEU_MEN,0.45,0.892,0.015,B,0.831,0.017,B,0.591,0.054,B,0.433,0.213,C
Quercus,agrifolia,QUAG,QUER_AGR,0.7,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,alba,QUAL,QUER_ALB,0.6,1.012,0.032,B,0.806,0.035,B,0.591,0.078,B,0.398,0.214,C
Quercus,"arizonica, grisea",QUAR,QUER_ARI,0.7,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,bicolor,QUBI,QUER_BIC,0.64,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,chrysolepis,QUCH,QUER_CHR,0.7,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,coccinea,QUCO,QUER_COC,0.6,0.99,0.052,B,0.904,0.047,B,0.781,0.078,B,0.591,0.216,C
Quercus,douglasii,QUDO,QUER_DOU,0.51,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,durandii,QUDU,QUER_DUR,0.6,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,ellipsoidalis,QUEL,QUER_ELL,0.56,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,emoryi,QUEM,QUER_EMO,0.7,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,engelmannii,QUEN,QUER_ENG,0.7,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,falcata var. falcata,QUFA,QUER_FAL,0.52,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,falcata var. pagodaefolia,QUFA2,QUER_FAL,0.61,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,gambelii,QUGA,QUER_GAM,0.64,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,garryana,QUGA2,QUER_GAR,0.64,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,hypoleucoides,QUHY,QUER_HYP,0.7,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,ilicifolia,QUIL,QUER_ILI,0.56,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,imbricaria,QUIM,QUER_IMB,0.56,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,incana,QUIN,QUER_INC,0.56,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,kelloggii,QUKE,QUER_KEL,0.51,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,laevis,QULA,QUER_LAE,0.52,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,laurifolia,QULA2,QUER_LAU,0.56,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,lobata,QULO,QUER_LOB,0.64,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
Quercus,lyrata,QULY,QUER_LYR,0.57,1.02,0.051,B,0.841,0.084,B,0.705,0.106,B,0.591,0.216,C
